conglome,vivienda,hogar,age,fac500a,d544t,educ,male,raza,exper,pea,ing_lab,ing_total,ln_ing,ln_ing_lab
007290,176,11,44,265.5558,1245.0,2,1,Mestizo,32.0,PEA Ocupada,743.6667,743.6667,6.611593,6.611593
007290,176,11,46,214.75797,1245.0,2,0,Mestizo,34.0,PEA Ocupada,851.5,861.5,6.758675,6.7469993
007290,176,11,20,252.95721,1245.0,1,1,Mestizo,4.0,PEA Ocupada,515.6667,515.6667,6.2454605,6.2454605
007290,176,11,19,252.95721,1245.0,1,1,Mestizo,4.0,PEA Ocupada,644.5833,644.5833,6.468604,6.468604
007290,176,11,17,252.95721,1245.0,1,1,Mestizo,3.0,PEA Ocupada,515.6667,515.6667,6.2454605,6.2454605
007291,017,11,62,258.22772,1245.0,3,1,Mestizo,42.0,PEA Ocupada,398.0,398.0,5.986452,5.986452
007291,017,11,66,179.20642,1011.0,5,0,Otros,42.0,PEA Ocupada,2338.25,2422.5,7.7925553,7.7571583
007291,035,11,72,179.20642,1245.0,2,0,Blanco,61.0,PEA Ocupada,664.3333,664.3333,6.498784,6.498784
007291,035,11,48,258.22772,403.0,1,1,Mestizo,31.0,PEA Ocupada,773.5,807.0833,6.693427,6.6509256
007291,070,11,59,258.22772,1245.0,1,1,Mestizo,46.0,PEA Ocupada,1127.3334,1127.3334,7.0276103,7.0276103
007291,070,11,30,273.28815,3298.0,3,0,Mestizo,10.0,PEA Ocupada,1090.75,1365.5834,7.219337,6.994621
007291,070,11,32,280.02515,1245.0,3,1,Otros,12.0,PEA Ocupada,1074.25,1074.25,6.979378,6.979378
007291,088,11,29,273.28815,910.0,3,0,Mestizo,9.0,PEA Ocupada,2414.9167,2490.75,7.820339,7.78942
007291,105,11,42,273.28815,2731.0,3,0,Otros,22.0,PEA Ocupada,1323.3333,1550.9166,7.3466015,7.187909
007291,140,11,50,258.22772,1245.0,1,1,Otros,33.0,PEA Ocupada,498.75,498.75,6.212105,6.212105
007292,010,11,51,207.61595,1245.0,1,0,Mestizo,34.0,PEA Ocupada,402.75,402.75,5.998316,5.998316
007292,056,12,40,250.548,1245.0,1,0,Blanco,25.0,PEA Ocupada,856.9167,856.9167,6.7533407,6.7533407
007292,056,12,34,256.72443,1245.0,1,1,Otros,17.0,PEA Ocupada,299.08334,299.08334,5.700722,5.700722
